Food Name,Calories,Carbs,Cholesterol,Fats,Fiber,Protein,Saturated Fat,Sodium,Sugar
Olive oil,884.0,0.0,0.0,100.0,0.0,0.0,14.0,0.002,0.0
Palm oil,884.0,0.0,0.0,100.0,0.0,0.0,49.0,0.0,0.0
Sesame oil,884.0,0.0,0.0,100.0,0.0,0.0,14.0,0.0,0.0
Cocoa butter,884.0,0.0,0.0,100.0,0.0,0.0,60.0,0.0,0.0
Cottonseed oil,884.0,0.0,0.0,100.0,0.0,0.0,26.0,0.0,0.0
Safflower oil,884.0,0.0,0.0,100.0,0.0,0.0,7.5,0.0,0.0
Grape seed oil,884.0,0.0,0.0,100.0,0.0,0.0,9.6,0.0,0.0
Walnut oil,884.0,0.0,0.0,100.0,0.0,0.0,9.1,0.0,0.0
Babassu oil,884.0,0.0,0.0,100.0,0.0,0.0,81.0,0.0,0.0
Blue cheese dressing,484.0,4.8,0.031,51.0,0.4,1.4,8.3,0.642,3.5
Sunflower oil,884.0,0.0,0.0,100.0,0.0,0.0,13.0,0.0,0.0
Duck fat,882.0,0.0,0.1,100.0,0.0,0.0,33.0,0.0,0.0
Avocado oil,884.0,0.0,,100.0,0.0,0.0,12.0,0.0,
Canola oil,884.0,0.0,0.0,100.0,0.0,0.0,7.4,0.0,0.0
Mustard oil,884.0,0.0,,100.0,0.0,0.0,12.0,0.0,
Salmon oil,902.0,0.0,0.485,100.0,0.0,0.0,20.0,0.0,
Fish oil,902.0,0.0,0.71,100.0,0.0,0.0,30.0,0.0,
Margarine,717.0,0.7,0.0,81.0,0.0,0.16,15.0,0.002,0.0
Spread,158.0,0.0,0.0,17.0,0.0,0.0,2.2,0.755,0.0
Honey mustard,207.0,28.0,0.0,10.0,0.8,0.98,0.83,0.701,18.0
Benecol,357.0,5.7,,39.0,,0.0,4.8,0.67,
Poppy seed dressing,399.0,24.0,0.015,33.0,0.3,0.92,6.1,0.933,23.0
Ceasar dressing,131.0,31.0,0.001,0.23,0.2,1.5,0.1,1.265,8.8
Flaxseed oil,878.0,0.39,0.0,99.0,,0.37,9.0,0.006,
Barbecue sauce,172.0,41.0,0.0,0.63,0.9,0.82,0.05,1.027,33.0
Béchamel sauce,105.0,7.4,0.008,6.7,0.1,3.8,2.2,0.328,4.8
Hot sauce,11.0,1.8,0.0,0.37,0.3,0.51,0.05,2.643,1.3
Hoisin sauce,220.0,44.0,0.003,3.4,2.8,3.3,0.57,1.615,27.0
Salsa,36.0,7.0,0.0,0.2,1.4,1.5,0.03,0.43,
